Deg,Reward
1,4.619398
2,4.619398
3,4.619398
4,4.619398
5,4.396747
6,4.99936
7,4.169663
8,4.999777
9,4.999773
10,4.867109
11,4.999786
12,4.999819
13,4.567177
14,4.619398
15,3.539466
16,4.619398
17,3.382368
18,3.332417
19,3.221779
20,4.619398
21,4.619398
22,4.619398
23,4.619398
24,4.619398
25,4.619398
26,4.619398
27,4.619398
28,4.619398
29,4.619398
30,4.619398
31,4.619398
32,4.619398
33,4.619398
34,4.619398
35,4.619398
36,4.619398
37,4.619398
38,4.619398
39,4.619398
40,4.619398
41,4.619398
42,4.619398
43,4.619398
44,4.619398
45,4.619398
46,4.619398
47,4.619398
48,4.619398
49,4.619398
50,4.619398
51,4.619398
52,4.619398
53,4.619398
54,4.619398
55,4.619398
56,4.619398
57,4.619398
58,4.619398
59,4.619398
60,4.619398
61,4.619398
62,4.619398
63,4.619398
64,4.619398
65,4.619398
66,4.619398
67,4.619398
68,4.619398
69,4.619398
70,4.619398
71,4.619398
72,4.619398
73,4.619398
74,4.619398
75,4.619398
76,4.619398
77,4.619398
78,4.619398
79,4.619398
80,4.619398
81,4.619398
82,4.619398
83,4.619398
84,4.619398
85,4.619398
86,4.619398
87,4.619398
88,4.619398
89,4.619398
90,4.619398
91,4.619398
92,4.619398
93,4.619398
94,4.539034
95,4.38885
96,4.219675
97,4.619398
98,4.068016
99,4.619398
100,4.999997
101,3.906662
102,4.928959
103,4.999999
104,4.619398
105,4.618905
106,4.619398
107,4.619398
108,3.345164
109,4.619398
110,4.619398
111,4.619398
112,4.619398
113,4.619398
114,4.619398
115,4.619398
116,4.619398
117,4.619398
118,4.619398
119,4.619398
120,4.619398
121,4.619398
122,4.619398
123,4.619398
124,4.619398
125,4.619398
126,4.619398
127,4.619398
128,4.619398
129,4.619398
130,4.619398
131,4.619398
132,4.619398
133,4.619398
134,4.619398
135,4.619398
136,4.619398
137,4.619398
138,4.619398
139,4.619398
140,4.619398
141,4.619398
142,4.619398
143,4.619398
144,4.619398
145,4.619398
146,4.619398
147,4.619398
148,4.619398
149,4.619398
150,4.619398
151,4.619398
152,4.619398
153,4.619398
154,4.619398
155,4.619398
156,4.619398
157,4.619398
158,4.619398
159,4.619398
160,4.619398
161,4.619398
162,4.619398
163,4.619398
164,4.619398
165,4.619398
166,4.619398
167,4.619398
168,4.619398
169,4.619398
170,4.619398
171,4.619398
172,4.619398
173,4.619398
174,4.619398
175,4.619398
176,4.619398
177,4.433319
178,4.619398
179,4.663409
180,4.619398
181,4.619398
182,4.619398
183,4.619398
184,4.619398
185,4.505679
186,4.224869
187,5
188,4.999759
189,4.614087
190,4.562041
191,4.526546
192,4.616244
193,4.619398
194,3.747915
195,4.999514
196,4.619398
197,4.999064
198,4.619398
199,4.619398
200,4.619398
201,4.619398
202,4.619398
203,4.619398
204,4.619398
205,4.619398
206,4.619398
207,4.619398
208,4.619398
209,4.619398
210,4.619398
211,4.619398
212,4.619398
213,4.619398
214,4.619398
215,4.619398
216,4.619398
217,4.619398
218,4.619398
219,4.619398
220,4.619398
221,4.619398
222,4.619398
223,4.619398
224,4.619398
225,4.619398
226,4.619398
227,4.619398
228,4.619398
229,4.619398
230,4.619398
231,4.619398
232,4.619398
233,4.619398
234,4.619398
235,4.619398
236,4.619398
237,4.619398
238,4.619398
239,4.619398
240,4.619398
241,4.619398
242,4.619398
243,4.619398
244,4.619398
245,4.619398
246,4.619398
247,4.619398
248,4.619398
249,4.619398
250,4.619398
251,4.619398
252,4.619398
253,4.619398
254,4.619398
255,4.619398
256,4.619398
257,4.619398
258,4.619398
259,4.619398
260,4.147955
261,4.619398
262,4.619398
263,4.619398
264,4.619398
265,4.278768
266,4.200155
267,4.619398
268,4.619398
269,4.632366
270,4.619398
271,4.619398
272,4.619398
273,4.619398
274,4.50112
275,4.267413
276,4.562006
277,5
278,4.999775
279,5
280,4.590815
281,4.828405
282,3.862912
283,3.756231
284,4.952048
285,4.619398
286,3.474145
287,4.619398
288,3.303088
289,4.619398
290,4.619398
291,4.619398
292,3.453583
293,4.619398
294,4.619398
295,4.619398
296,4.619398
297,4.619398
298,4.619398
299,4.619398
300,4.619398
301,4.619398
302,4.619398
303,4.619398
304,4.619398
305,4.619398
306,4.619398
307,4.619398
308,4.619398
309,4.619398
310,4.619398
311,4.619398
312,4.619398
313,4.619398
314,4.619398
315,4.619398
316,4.619398
317,4.619398
318,4.619398
319,4.619398
320,4.619398
321,4.619398
322,4.619398
323,4.619398
324,4.619398
325,4.619398
326,4.619398
327,4.619398
328,4.619398
329,4.619398
330,4.619398
331,4.619398
332,4.619398
333,4.619398
334,4.619398
335,4.619398
336,4.619398
337,4.619398
338,4.619398
339,4.619398
340,4.619398
341,4.619398
342,4.619398
343,4.619398
344,4.619398
345,4.619398
346,4.619398
347,4.619398
348,4.619398
349,4.619398
350,4.094543
351,4.619398
352,4.619398
353,4.619398
354,4.619398
355,4.99966
356,4.619398
357,4.619398
358,4.619398
359,4.619398
360,4.652768
361,4.619398
362,4.619398
363,4.42843
364,4.619398
365,4.396751
366,4.999774
367,4.999782
368,4.615585
369,3.988985
